Llama_ROUGE-1,Llama_ROUGE-2,Llama_ROUGE-L,Llama_BLEU-1,Llama_BLEU-2,Llama_BLEU-3,Llama_BLEU-4,Llama_BLEU,Llama_METEOR,Llama_BERTScore-F1,id
0.2748,0.1085,0.1527,0.1573,0.1036,0.0627,0.0231,0.0231,0.3125,0.1395,655
0.1794,0.0543,0.1166,0.0313,0.0135,0.0038,0.002,0.002,0.0651,-0.1781,656
0.4945,0.1889,0.2747,0.3778,0.206,0.1245,0.0816,0.0816,0.2713,0.2212,657
0.6009,0.3602,0.4413,0.4487,0.3337,0.254,0.1895,0.1895,0.3714,0.4694,658
0.4429,0.0725,0.2286,0.2987,0.0887,0.0219,0.0109,0.0109,0.2399,0.09,659
0.3922,0.1325,0.2876,0.2874,0.1635,0.0857,0.0294,0.0294,0.3145,0.2225,660
0.3727,0.1384,0.2733,0.258,0.1108,0.0667,0.0436,0.0436,0.1686,0.0993,661
0.4316,0.1915,0.3053,0.2179,0.1317,0.0775,0.0454,0.0454,0.228,0.1541,662
0.4246,0.113,0.257,0.3297,0.1712,0.0691,0.0247,0.0247,0.2251,0.1513,663
0.3836,0.1659,0.2374,0.1728,0.1251,0.0951,0.0679,0.0679,0.1651,0.0365,664
0.3896,0.1974,0.2987,0.2581,0.1675,0.0974,0.0566,0.0566,0.408,0.2309,665
0.2636,0.0315,0.124,0.1243,0.0418,0.0135,0.0077,0.0077,0.0771,-0.0699,666
0.2609,0.0885,0.1913,0.1098,0.0521,0.015,0.0081,0.0081,0.2237,0.1288,667
0.5234,0.283,0.3832,0.3349,0.2302,0.1693,0.1225,0.1225,0.3348,0.351,668
0.4027,0.1622,0.2282,0.1576,0.0953,0.0602,0.0388,0.0388,0.184,0.1642,669
0.4203,0.1618,0.2899,0.2644,0.1467,0.0912,0.0308,0.0308,0.3176,0.3284,670
0.3602,0.1006,0.1988,0.2593,0.0986,0.0497,0.0199,0.0199,0.2,0.107,671
0.525,0.3165,0.4625,0.3902,0.2862,0.2096,0.1554,0.1554,0.3657,0.4098,672
0.3502,0.1116,0.2396,0.1641,0.0724,0.015,0.0069,0.0069,0.1298,-0.0164,673
0.3091,0.1284,0.2455,0.1461,0.0949,0.0608,0.0345,0.0345,0.1121,-0.0761,674
0.5315,0.1545,0.2883,0.3334,0.1793,0.1038,0.063,0.063,0.2912,0.2899,675
0.2798,0.0733,0.1554,0.1922,0.0768,0.0394,0.0159,0.0159,0.1472,0.0713,676
0.4686,0.2363,0.3682,0.3347,0.2298,0.1734,0.1378,0.1378,0.315,0.2457,677
0.5556,0.312,0.381,0.293,0.2102,0.165,0.1341,0.1341,0.2643,0.4071,678
0.299,0.0625,0.1649,0.1756,0.0533,0.0133,0.0066,0.0066,0.118,-0.0283,679
0.3312,0.0645,0.1656,0.2469,0.0962,0.0227,0.0111,0.0111,0.2186,0.0705,680
0.3333,0.1727,0.2703,0.1406,0.0888,0.0546,0.0304,0.0304,0.1418,0.0676,681
0.4568,0.1125,0.2963,0.3448,0.1675,0.0691,0.025,0.025,0.3009,0.2089,682
0.4153,0.1624,0.2966,0.2435,0.143,0.0933,0.0612,0.0612,0.1969,0.2498,683
0.3945,0.1296,0.2569,0.2415,0.1215,0.0611,0.0205,0.0205,0.1731,0.1566,684
0.3942,0.0874,0.1923,0.2091,0.0782,0.0356,0.0136,0.0136,0.1296,0.1696,685
0.4215,0.1629,0.287,0.2204,0.1186,0.0649,0.0435,0.0435,0.1848,0.2696,686
0.2242,0.0814,0.1614,0.0675,0.0369,0.0256,0.0163,0.0163,0.0993,-0.0861,687
0.4409,0.1413,0.2473,0.3262,0.1807,0.0998,0.0565,0.0565,0.2358,0.2788,688
0.3509,0.1183,0.2339,0.2661,0.134,0.0743,0.0467,0.0467,0.1849,0.1487,689
0.4259,0.1776,0.287,0.2696,0.1375,0.0907,0.0699,0.0699,0.2059,0.1834,690
0.4062,0.1654,0.2812,0.2505,0.1439,0.0931,0.0549,0.0549,0.2414,0.2408,691
0.549,0.2673,0.402,0.4755,0.3024,0.2072,0.1514,0.1514,0.3772,0.2875,692
0.3355,0.0784,0.1806,0.2022,0.083,0.043,0.0174,0.0174,0.2406,0.1019,693
0.3768,0.1691,0.2725,0.1087,0.0678,0.0476,0.037,0.037,0.1728,0.1654,694
0.3719,0.1167,0.2314,0.2276,0.1231,0.0719,0.0513,0.0513,0.175,0.2289,695
0.3892,0.1639,0.3027,0.2269,0.1345,0.0787,0.0546,0.0546,0.1846,0.2044,696
0.169,0.0143,0.1127,0.0756,0.0098,0.005,0.0036,0.0036,0.0522,-0.2326,697
0.1696,0.0569,0.0707,0.0231,0.012,0.0061,0.0025,0.0025,0.0682,-0.1861,698
0.4257,0.2109,0.3581,0.1868,0.1341,0.1046,0.0831,0.0831,0.1993,0.3223,699
0.3973,0.1389,0.2603,0.2289,0.1294,0.0853,0.0528,0.0528,0.2852,0.1851,700
0.3692,0.125,0.2462,0.1975,0.0703,0.0397,0.0168,0.0168,0.2432,0.1796,701
0.5333,0.2372,0.3608,0.2665,0.1669,0.1294,0.1051,0.1051,0.2833,0.3955,702
0.3165,0.1083,0.1772,0.0683,0.0344,0.0061,0.0026,0.0026,0.1205,0.1881,703
0.4574,0.2624,0.3857,0.2383,0.1653,0.1054,0.0683,0.0683,0.211,0.3338,704
0.3483,0.1608,0.2687,0.3114,0.218,0.1542,0.1157,0.1157,0.2467,0.2275,705
0.349,0.1224,0.2282,0.2329,0.1137,0.0714,0.0478,0.0478,0.1501,0.1917,706
0.3854,0.0737,0.1875,0.2639,0.1305,0.086,0.0589,0.0589,0.2038,0.1725,707
0.188,0.0174,0.1368,0.0811,0.0105,0.0054,0.0038,0.0038,0.0983,0.0462,708
0.3169,0.0552,0.1749,0.1955,0.0594,0.0148,0.0074,0.0074,0.1269,0.0397,709
0.3843,0.166,0.2431,0.1643,0.0967,0.0662,0.0478,0.0478,0.1827,0.1862,710
0.1277,0.0144,0.0993,0.0676,0.0096,0.005,0.0037,0.0037,0.036,-0.2292,711
0.4581,0.1469,0.2682,0.342,0.184,0.1007,0.0568,0.0568,0.2563,0.1941,712
0.4862,0.2905,0.3757,0.3556,0.2531,0.1941,0.1356,0.1356,0.3421,0.2904,713
0.4886,0.1954,0.3409,0.2976,0.1387,0.0944,0.0657,0.0657,0.2508,0.2592,714
0.2571,0.058,0.1857,0.1687,0.0143,0.0063,0.0042,0.0042,0.1765,0.048,715
0.3889,0.1408,0.25,0.2386,0.1283,0.0576,0.0218,0.0218,0.3255,0.3308,716
0.2899,0.0441,0.1449,0.1688,0.0471,0.0144,0.008,0.008,0.1468,-0.0055,717
0.3169,0.1436,0.1858,0.2472,0.1543,0.0976,0.0551,0.0551,0.2182,0.101,718
0.3022,0.0897,0.1511,0.1677,0.0795,0.0343,0.0127,0.0127,0.1567,0.088,719
0.602,0.3505,0.4388,0.3881,0.2876,0.2269,0.1814,0.1814,0.4015,0.4288,720
0.5,0.2062,0.3571,0.3544,0.2004,0.132,0.0817,0.0817,0.2723,0.317,721
0.3441,0.0761,0.1828,0.276,0.1089,0.0505,0.0194,0.0194,0.1445,0.0205,722
0.2941,0.1493,0.1912,0.1461,0.0706,0.0385,0.0161,0.0161,0.1989,0.2805,723
0.4397,0.1478,0.2328,0.2628,0.127,0.0822,0.0584,0.0584,0.2105,0.1939,724
0.3364,0.1468,0.2455,0.1168,0.0663,0.0416,0.0299,0.0299,0.1536,0.0214,725
0.5049,0.2549,0.3981,0.3607,0.2775,0.2183,0.1755,0.1755,0.3492,0.3842,726
0.5551,0.3142,0.3726,0.2808,0.2149,0.1669,0.1271,0.1271,0.3162,0.2452,727
0.2979,0.0538,0.1809,0.1803,0.0387,0.0108,0.0057,0.0057,0.1218,0.0795,728
0.4628,0.2353,0.3802,0.2985,0.2018,0.1463,0.0995,0.0995,0.3638,0.4013,729
0.5824,0.4,0.4945,0.5169,0.4198,0.3545,0.3108,0.3108,0.4322,0.5052,730
0.4493,0.146,0.2754,0.1778,0.0885,0.0444,0.0239,0.0239,0.2162,0.2737,731
0.1436,0.0207,0.0923,0.0392,0.0051,0.0026,0.0019,0.0019,0.0329,-0.3055,732
0.4476,0.1731,0.2667,0.2386,0.131,0.0769,0.0418,0.0418,0.2219,0.1443,733
0.403,0.1515,0.194,0.2299,0.1034,0.0233,0.0111,0.0111,0.2727,0.2272,734
0.3444,0.1124,0.2111,0.2291,0.1099,0.0637,0.023,0.023,0.2021,0.0057,735
0.2833,0.0169,0.1333,0.1867,0.0502,0.0151,0.0083,0.0083,0.2327,0.1063,736
0.3743,0.1081,0.2139,0.2993,0.125,0.0549,0.0205,0.0205,0.2362,0.2472,737
0.2361,0.0423,0.1806,0.1392,0.0423,0.0132,0.0074,0.0074,0.1274,-0.0512,738
0.515,0.2061,0.4311,0.4198,0.2612,0.1904,0.1372,0.1372,0.3328,0.3243,739
0.5482,0.3077,0.4467,0.347,0.2533,0.1984,0.1606,0.1606,0.3029,0.3538,740
0.2628,0.0741,0.1898,0.1184,0.0126,0.006,0.0041,0.0041,0.1835,0.0139,741
0.4422,0.1827,0.2915,0.2646,0.1539,0.0731,0.0239,0.0239,0.2192,0.2485,742
0.5714,0.253,0.4048,0.45,0.2614,0.1519,0.0462,0.0462,0.3873,0.4125,743
0.271,0.0392,0.1806,0.2111,0.0689,0.0175,0.0089,0.0089,0.153,0.0943,744
0.4091,0.1724,0.2727,0.2824,0.164,0.0865,0.0298,0.0298,0.2765,0.205,745
0.4623,0.219,0.2736,0.3041,0.1924,0.1172,0.0772,0.0772,0.2932,0.1828,746
0.5556,0.2759,0.3932,0.3412,0.2261,0.1499,0.0973,0.0973,0.3738,0.3139,747
0.5193,0.2458,0.442,0.3987,0.2762,0.1948,0.1417,0.1417,0.3314,0.4034,748
0.5078,0.2304,0.3834,0.3294,0.2159,0.142,0.0971,0.0971,0.2803,0.3299,749
0.4552,0.1538,0.3448,0.3378,0.18,0.1216,0.071,0.071,0.299,0.2697,750
0.375,0.092,0.2727,0.2742,0.0956,0.0218,0.0104,0.0104,0.1893,0.3153,751
0.4076,0.1161,0.2293,0.3103,0.1343,0.0752,0.0267,0.0267,0.2567,0.2654,752
0.2424,0.0368,0.1333,0.0781,0.0352,0.01,0.0054,0.0054,0.0732,-0.0998,753
0.2778,0.0986,0.1944,0.1786,0.0656,0.0374,0.016,0.016,0.1828,0.0893,754
0.4103,0.1347,0.2359,0.2865,0.137,0.0708,0.043,0.043,0.2489,0.1459,755
0.5914,0.2826,0.4624,0.4279,0.2485,0.1514,0.0942,0.0942,0.3391,0.452,756
0.3804,0.1242,0.2577,0.25,0.1227,0.0716,0.026,0.026,0.2041,0.1729,757
0.3758,0.1104,0.2545,0.2875,0.1349,0.0286,0.0132,0.0132,0.1978,0.2597,758
0.4868,0.2032,0.3598,0.3299,0.1856,0.09,0.0297,0.0297,0.2684,0.3262,759
0.4908,0.2484,0.3681,0.2672,0.1672,0.0841,0.0283,0.0283,0.2706,0.2774,760
0.2623,0.1,0.1311,0.125,0.0398,0.0127,0.0072,0.0072,0.1495,0.1593,761
0.4667,0.2697,0.4,0.3372,0.2357,0.1583,0.0989,0.0989,0.3217,0.3555,762
0.4603,0.224,0.3492,0.2536,0.1743,0.1316,0.1046,0.1046,0.2512,0.2658,763
0.4053,0.16,0.2643,0.2115,0.1212,0.0637,0.0198,0.0198,0.2097,0.1687,764
0.4479,0.2526,0.3438,0.3988,0.2836,0.2295,0.195,0.195,0.2509,0.2154,765
0.3619,0.1635,0.2381,0.2144,0.1202,0.069,0.0224,0.0224,0.1439,0.1816,766
0.3908,0.1628,0.2874,0.2707,0.1844,0.1253,0.0912,0.0912,0.1988,0.2016,767
0.5473,0.3015,0.398,0.3249,0.2226,0.1477,0.0945,0.0945,0.2753,0.4561,768
0.3955,0.1714,0.2599,0.3023,0.1789,0.0914,0.031,0.031,0.2534,0.1699,769
0.2069,0.0351,0.1552,0.1099,0.0349,0.0111,0.0063,0.0063,0.1662,-0.0838,770
0.4516,0.2888,0.3226,0.1952,0.1453,0.1106,0.0868,0.0868,0.2589,0.3302,771
0.4201,0.1935,0.2648,0.2291,0.1386,0.1001,0.0718,0.0718,0.211,0.2097,772
0.4654,0.1911,0.3396,0.2841,0.1616,0.0847,0.0291,0.0291,0.2631,0.2276,773
0.25,0.0635,0.1875,0.0875,0.0105,0.0052,0.0037,0.0037,0.0996,-0.1556,774
0.4706,0.2024,0.2588,0.3778,0.2349,0.1234,0.0383,0.0383,0.2983,0.267,775
0.3782,0.1356,0.2353,0.2182,0.1197,0.0702,0.0454,0.0454,0.1726,0.1739,776
0.1882,0.0119,0.1294,0.0693,0.0078,0.0038,0.0026,0.0026,0.0591,-0.0884,777
0.4061,0.1744,0.264,0.3133,0.1901,0.1207,0.0767,0.0767,0.2259,0.1778,778
0.352,0.191,0.2458,0.0388,0.0268,0.0197,0.0159,0.0159,0.1684,0.2914,779
0.2314,0.0672,0.1488,0.1538,0.0632,0.0174,0.0092,0.0092,0.1947,0.1228,780
0.438,0.1691,0.3212,0.1754,0.1104,0.0781,0.0554,0.0554,0.2054,0.1734,781
0.3846,0.1875,0.2923,0.2262,0.1381,0.0775,0.0275,0.0275,0.3121,0.2196,782
0.2564,0.1043,0.1709,0.1461,0.0706,0.0179,0.009,0.009,0.3158,0.1537,783
0.3947,0.1327,0.2456,0.2062,0.1002,0.0414,0.015,0.015,0.1658,0.106,784
0.2535,0.0857,0.1408,0.1954,0.1168,0.0862,0.0692,0.0692,0.2104,0.0609,785
0.5734,0.3404,0.4196,0.3562,0.211,0.1234,0.0405,0.0405,0.3215,0.4975,786
0.5034,0.2069,0.381,0.3176,0.1845,0.1179,0.0669,0.0669,0.4099,0.4317,787
0.4255,0.1459,0.2638,0.2409,0.126,0.0682,0.0215,0.0215,0.2381,0.3171,788
0.289,0.117,0.2312,0.2231,0.1123,0.0757,0.0474,0.0474,0.214,0.0282,789
0.355,0.1198,0.213,0.2588,0.111,0.0246,0.0116,0.0116,0.1926,0.1196,790
0.3942,0.1912,0.2701,0.2337,0.1371,0.0934,0.0688,0.0688,0.1814,0.1724,791
0.6905,0.4578,0.5952,0.5968,0.4854,0.4135,0.3563,0.3563,0.4886,0.5588,792
0.2126,0.0585,0.1739,0.0775,0.0375,0.0259,0.0181,0.0181,0.0973,-0.0634,793
0.3707,0.113,0.1897,0.1924,0.1118,0.072,0.0461,0.0461,0.1778,0.1049,794
0.3804,0.1242,0.2577,0.3059,0.1478,0.0807,0.0283,0.0283,0.3004,0.2449,795
0.3433,0.1667,0.2537,0.1889,0.1128,0.0661,0.0427,0.0427,0.2765,0.2761,796
0.4564,0.1769,0.2819,0.3059,0.181,0.1058,0.0733,0.0733,0.2589,0.3336,797
0.3575,0.1921,0.2123,0.3021,0.2065,0.1526,0.1144,0.1144,0.2177,0.25,798
0.5116,0.2706,0.3488,0.4,0.276,0.1859,0.1331,0.1331,0.4516,0.1838,799
0.5,0.1782,0.2843,0.3248,0.1736,0.1009,0.0649,0.0649,0.2687,0.1796,800
0.3448,0.1259,0.2345,0.2439,0.1452,0.1096,0.0841,0.0841,0.2545,0.215,801
0.4205,0.2069,0.3409,0.2671,0.1827,0.147,0.1242,0.1242,0.232,0.2557,802
0.2778,0.1028,0.1852,0.1553,0.0867,0.0569,0.0389,0.0389,0.1227,0.0189,803
0.3827,0.1875,0.2593,0.2706,0.1882,0.1288,0.094,0.094,0.3042,0.1571,804
0.4933,0.2027,0.2933,0.275,0.1445,0.093,0.0676,0.0676,0.3564,0.2288,805
0.2222,0.1076,0.1778,0.0697,0.0512,0.0422,0.0347,0.0347,0.1088,-0.1221,806
0.1364,0.023,0.1023,0.1198,0.0364,0.0114,0.0064,0.0064,0.0723,-0.0716,807
0.3735,0.0732,0.2289,0.3249,0.1571,0.0681,0.0253,0.0253,0.2338,0.252,808
0.2241,0.0351,0.1552,0.1176,0.0118,0.0055,0.0038,0.0038,0.2673,0.1536,809
0.3578,0.1852,0.2569,0.2103,0.1317,0.0845,0.0454,0.0454,0.1744,0.1129,810
0.38,0.1414,0.29,0.2314,0.1498,0.0972,0.0691,0.0691,0.1805,0.2123,811
0.4674,0.2284,0.3505,0.2299,0.1607,0.1285,0.1059,0.1059,0.2807,0.2873,812
0.2534,0.0457,0.1176,0.0825,0.0363,0.0081,0.0039,0.0039,0.1122,-0.0393,813
0.1268,0.0638,0.0845,0.013,0.0087,0.0061,0.0043,0.0043,0.0441,-0.2573,814
0.2615,0.125,0.2,0.1684,0.1037,0.0614,0.0398,0.0398,0.3131,0.0589,815
0.484,0.2488,0.3744,0.2853,0.2103,0.1679,0.1392,0.1392,0.2758,0.2729,816
0.1939,0.0491,0.1333,0.067,0.0442,0.0124,0.0066,0.0066,0.0578,-0.1688,817
0.3455,0.0635,0.1885,0.291,0.1216,0.0248,0.0112,0.0112,0.1924,0.0186,818
0.4353,0.1905,0.2706,0.2851,0.1904,0.1438,0.109,0.109,0.2416,0.2046,819
0.655,0.497,0.5731,0.5233,0.4773,0.4427,0.4173,0.4173,0.5487,0.4651,820
0.218,0.0574,0.1232,0.1545,0.0549,0.0144,0.0074,0.0074,0.1188,-0.0958,821
0.5279,0.2921,0.4312,0.2386,0.1696,0.1249,0.0995,0.0995,0.2839,0.3377,822
0.4815,0.2523,0.2963,0.2086,0.1405,0.1037,0.0787,0.0787,0.2225,0.2833,823
0.3206,0.1085,0.2137,0.1413,0.0683,0.0373,0.0155,0.0155,0.1799,0.2695,824
0.3846,0.1562,0.3231,0.2346,0.1326,0.0962,0.0765,0.0765,0.2651,0.2419,825
0.2176,0.0314,0.114,0.071,0.0065,0.003,0.002,0.002,0.0611,-0.1725,826
0.4,0.1451,0.2872,0.2993,0.1581,0.0809,0.0274,0.0274,0.1985,0.2435,827
0.4519,0.1845,0.3077,0.2941,0.1708,0.1136,0.0706,0.0706,0.25,0.3172,828
0.453,0.1788,0.2431,0.2223,0.1082,0.0564,0.0344,0.0344,0.194,0.2015,829
0.3724,0.1119,0.1793,0.2817,0.1418,0.0308,0.0144,0.0144,0.1917,0.1479,830
0.4331,0.1419,0.293,0.2857,0.1491,0.063,0.0231,0.0231,0.2956,0.378,831
0.2722,0.1198,0.2367,0.1416,0.0902,0.0619,0.0391,0.0391,0.1442,-0.1238,832
0.2545,0.0245,0.1455,0.2143,0.0508,0.0147,0.0079,0.0079,0.1237,-0.0113,833
0.567,0.2917,0.3093,0.3929,0.2761,0.1956,0.1105,0.1105,0.3142,0.3591,834
0.378,0.128,0.2362,0.2278,0.1081,0.0248,0.0119,0.0119,0.3403,0.3144,835
0.3529,0.18,0.2745,0.1528,0.1037,0.0773,0.0605,0.0605,0.2884,0.1435,836
0.1607,0.0545,0.125,0.1026,0.0516,0.0327,0.0147,0.0147,0.1872,0.0432,837
0.2857,0.0964,0.2024,0.2299,0.1034,0.0233,0.0111,0.0111,0.1916,0.1086,838
0.3529,0.1017,0.1765,0.1749,0.0933,0.0625,0.0408,0.0408,0.1974,0.169,839
0.4057,0.1333,0.283,0.2744,0.1356,0.0811,0.0478,0.0478,0.2359,0.2239,840
0.3125,0.1702,0.2708,0.1688,0.1155,0.0708,0.0263,0.0263,0.3084,0.0607,841
0.303,0.0613,0.1333,0.2442,0.0758,0.019,0.0095,0.0095,0.1396,0.0653,842
0.4384,0.1667,0.3151,0.2976,0.1467,0.0807,0.0284,0.0284,0.3222,0.3141,843
0.3313,0.1242,0.2331,0.2353,0.0917,0.0466,0.0187,0.0187,0.1538,0.1546,844
0.4831,0.2045,0.3034,0.2907,0.1564,0.0922,0.0303,0.0303,0.2365,0.2983,845
0.359,0.1865,0.2872,0.2668,0.1789,0.1428,0.1157,0.1157,0.2787,0.1161,846
0.4444,0.2063,0.2667,0.2293,0.1449,0.1013,0.0665,0.0665,0.2081,0.2785,847
0.3046,0.1531,0.203,0.0385,0.0229,0.0134,0.0082,0.0082,0.1008,0.1188,848
0.642,0.3625,0.4198,0.5062,0.3645,0.2796,0.2176,0.2176,0.4519,0.3708,849
0.3709,0.1208,0.2119,0.2471,0.1213,0.0562,0.0216,0.0216,0.3207,0.0614,850
0.5686,0.2871,0.3431,0.3986,0.2508,0.1496,0.0741,0.0741,0.2945,0.4681,851
0.3735,0.2061,0.2892,0.1219,0.0794,0.0557,0.0363,0.0363,0.1742,0.2172,852
0.2837,0.0863,0.2411,0.1609,0.0749,0.0509,0.0354,0.0354,0.2124,0.1244,853
0.375,0.1748,0.3077,0.2327,0.1568,0.1067,0.0671,0.0671,0.1758,0.0959,854
0.3789,0.117,0.2211,0.2972,0.1384,0.0592,0.0219,0.0219,0.1852,0.1372,855
0.4645,0.1046,0.3355,0.2785,0.1035,0.0653,0.0246,0.0246,0.2181,0.2503,856
0.3697,0.1197,0.2185,0.1875,0.0844,0.0209,0.0104,0.0104,0.2968,0.167,857
0.288,0.0325,0.176,0.1647,0.014,0.0062,0.0041,0.0041,0.1794,0.2192,858
0.5109,0.2667,0.3504,0.3038,0.2162,0.1539,0.1095,0.1095,0.3877,0.3584,859
0.3571,0.1739,0.2714,0.2564,0.1632,0.1206,0.0827,0.0827,0.2308,0.1793,860
0.0909,0.0308,0.0606,0.0356,0.0066,0.0037,0.0028,0.0028,0.0316,-0.2706,861
0.5676,0.2603,0.3784,0.4405,0.2821,0.198,0.1399,0.1399,0.5408,0.4036,862
0.3495,0.198,0.2136,0.2133,0.1421,0.094,0.0583,0.0583,0.3773,0.3285,863
0.3237,0.0936,0.2081,0.2442,0.1418,0.0896,0.0645,0.0645,0.1791,0.0471,864
0.5405,0.3113,0.4093,0.2886,0.2053,0.1477,0.1073,0.1073,0.3101,0.3683,865
0.411,0.1475,0.2283,0.3025,0.1581,0.0856,0.027,0.027,0.1873,0.1653,866
0.443,0.1667,0.2658,0.3023,0.1578,0.1058,0.0731,0.0731,0.3094,0.2125,867
0.494,0.1829,0.253,0.3371,0.1637,0.0974,0.0322,0.0322,0.3897,0.208,868
0.4049,0.1306,0.2186,0.2067,0.0826,0.0424,0.0144,0.0144,0.1733,0.1866,869
0.3314,0.1557,0.2485,0.2963,0.1826,0.1191,0.0811,0.0811,0.1822,0.1322,870
0.172,0.0361,0.086,0.0654,0.0319,0.0074,0.0036,0.0036,0.0587,-0.1792,871
0.25,0.0317,0.1562,0.1625,0.0454,0.0138,0.0076,0.0076,0.1722,0.1363,872
0.3974,0.1879,0.2914,0.28,0.174,0.094,0.0583,0.0583,0.2929,0.2581,873
0.5375,0.3038,0.375,0.4321,0.275,0.1791,0.1219,0.1219,0.3959,0.3648,874
0.4792,0.1579,0.2917,0.3973,0.2079,0.1335,0.0945,0.0945,0.2997,0.2945,875
0.2941,0.1343,0.2647,0.1724,0.0896,0.0574,0.0218,0.0218,0.2635,0.1446,876
0.4545,0.2644,0.3636,0.3659,0.2567,0.192,0.1467,0.1467,0.329,0.3508,877
0.3429,0.1387,0.2514,0.2653,0.1575,0.0959,0.057,0.057,0.1975,0.0882,878
0.3736,0.1222,0.2198,0.1756,0.056,0.0305,0.0127,0.0127,0.1448,0.1572,879
0.474,0.1404,0.3121,0.3875,0.1716,0.091,0.0315,0.0315,0.2999,0.376,880
0.5366,0.3361,0.3902,0.2345,0.1748,0.1264,0.0906,0.0906,0.285,0.3848,881
0.1615,0.0,0.087,0.0927,0.0104,0.0051,0.0035,0.0035,0.0586,-0.3081,882
0.459,0.221,0.3388,0.3205,0.1921,0.1161,0.036,0.036,0.2624,0.2973,883
0.3553,0.16,0.25,0.2439,0.1344,0.0878,0.0541,0.0541,0.2066,0.2103,884
0.3697,0.2051,0.2857,0.1882,0.1059,0.0646,0.0426,0.0426,0.3403,0.237,885
0.3895,0.1383,0.2211,0.2758,0.1308,0.0564,0.0209,0.0209,0.1911,0.1035,886
0.3874,0.0545,0.1982,0.1852,0.058,0.0127,0.006,0.006,0.1458,0.1758,887
0.4519,0.1716,0.3185,0.2518,0.1447,0.0803,0.0477,0.0477,0.2221,0.3073,888
0.4026,0.1316,0.2208,0.2973,0.1105,0.0257,0.0124,0.0124,0.2132,0.2237,889
0.3936,0.2105,0.2651,0.2072,0.1474,0.1032,0.0728,0.0728,0.1982,0.2619,890
0.5217,0.2767,0.4099,0.3095,0.2202,0.1525,0.115,0.115,0.3404,0.3454,891
0.3757,0.1453,0.2431,0.2766,0.1443,0.0768,0.0266,0.0266,0.2109,0.1809,892
0.4967,0.2649,0.4052,0.4018,0.2863,0.2123,0.1723,0.1723,0.367,0.2732,893
0.4,0.2238,0.3172,0.2976,0.2159,0.1785,0.1489,0.1489,0.3633,0.2021,894
0.2194,0.0261,0.129,0.1478,0.043,0.0133,0.0074,0.0074,0.1019,-0.1335,895
0.4196,0.1712,0.3393,0.2662,0.1505,0.0933,0.0649,0.0649,0.2287,0.2542,896
0.2951,0.0992,0.1721,0.1576,0.0762,0.0153,0.0069,0.0069,0.1231,-0.0017,897
0.4082,0.1649,0.2857,0.2631,0.1367,0.0876,0.0498,0.0498,0.2181,0.2452,898
0.3,0.0787,0.1778,0.23,0.0875,0.0205,0.0099,0.0099,0.1829,0.0876,899
0.3804,0.1366,0.2699,0.3049,0.1503,0.0946,0.0572,0.0572,0.2483,0.1462,900
0.4378,0.1472,0.2747,0.2493,0.1272,0.0618,0.0204,0.0204,0.2242,0.2487,901
0.3231,0.125,0.2308,0.225,0.0924,0.0478,0.0194,0.0194,0.2385,0.0949,902
0.534,0.2646,0.3874,0.2974,0.1833,0.1243,0.078,0.078,0.3015,0.41,903
0.43,0.1717,0.27,0.2488,0.1491,0.0901,0.0591,0.0591,0.2318,0.2487,904
0.4615,0.2241,0.3333,0.2221,0.1446,0.0999,0.0753,0.0753,0.2376,0.2993,905
0.3878,0.1916,0.2433,0.1879,0.1291,0.0894,0.0656,0.0656,0.1746,0.1921,906
0.3713,0.1697,0.2994,0.2821,0.1601,0.0877,0.0308,0.0308,0.2212,0.131,907
0.381,0.1981,0.3048,0.084,0.0514,0.0291,0.0083,0.0083,0.1535,0.1979,908
0.4293,0.2116,0.3246,0.3222,0.2112,0.159,0.1344,0.1344,0.2308,0.2353,909
0.2581,0.0915,0.2065,0.129,0.075,0.0397,0.0163,0.0163,0.0749,-0.1172,910
0.3382,0.1642,0.2794,0.2024,0.1306,0.0747,0.0476,0.0476,0.263,0.1651,911
0.4444,0.2367,0.2807,0.3793,0.2572,0.176,0.1342,0.1342,0.2906,0.2518,912
0.375,0.169,0.3333,0.2346,0.1211,0.0265,0.0124,0.0124,0.2578,0.2864,913
0.2769,0.0829,0.1846,0.1621,0.0921,0.0636,0.0446,0.0446,0.1201,0.1345,914
0.6304,0.4286,0.5326,0.5234,0.412,0.3392,0.2928,0.2928,0.4715,0.448,915
0.3778,0.1461,0.2556,0.2713,0.1287,0.0699,0.0435,0.0435,0.1979,0.1703,916
0.3134,0.0909,0.2388,0.2045,0.0686,0.0176,0.009,0.009,0.25,0.1613,917
0.4056,0.1277,0.2517,0.2588,0.1241,0.0719,0.0461,0.0461,0.2313,0.1751,918
0.322,0.094,0.2034,0.2145,0.0866,0.0376,0.014,0.014,0.1547,0.1394,919
0.4163,0.21,0.3077,0.2187,0.1448,0.1047,0.0678,0.0678,0.2558,0.2027,920
0.2353,0.0513,0.1849,0.137,0.0617,0.0377,0.0166,0.0166,0.1473,-0.128,921
0.2273,0.0534,0.1742,0.0542,0.0273,0.0161,0.0104,0.0104,0.0905,-0.141,922
0.3646,0.1117,0.2099,0.2278,0.1069,0.0488,0.0186,0.0186,0.1578,0.1005,923
0.3983,0.1834,0.2597,0.1622,0.0927,0.0517,0.0295,0.0295,0.1866,0.1259,924
0.2479,0.0672,0.1983,0.1084,0.0514,0.032,0.0142,0.0142,0.1493,0.0861,925
