LlaDA_ROUGE-1,LlaDA_ROUGE-2,LlaDA_ROUGE-L,LlaDA_BLEU-1,LlaDA_BLEU-2,LlaDA_BLEU-3,LlaDA_BLEU-4,LlaDA_BLEU,LlaDA_METEOR,LlaDA_BERTScore-F1,id
0.3686,0.1107,0.251,0.1149,0.045,0.009,0.004,0.004,0.1568,0.1914,930
0.4696,0.1404,0.2609,0.2576,0.1229,0.0584,0.0191,0.0191,0.217,0.2388,931
0.4231,0.2136,0.3558,0.3156,0.2077,0.153,0.119,0.119,0.2726,0.3079,932
0.4762,0.1925,0.2963,0.3133,0.1602,0.0927,0.0538,0.0538,0.2162,0.2491,933
0.2778,0.0563,0.1667,0.1957,0.0464,0.0134,0.0072,0.0072,0.2238,0.0595,934
0.4111,0.191,0.3111,0.3444,0.2243,0.166,0.1333,0.1333,0.2359,0.227,935
0.3089,0.0826,0.2114,0.2222,0.0969,0.0512,0.021,0.021,0.2184,0.1414,936
0.3933,0.1023,0.2584,0.2889,0.1139,0.0245,0.0114,0.0114,0.2047,0.2256,937
0.3784,0.1311,0.3135,0.1875,0.098,0.0599,0.0357,0.0357,0.1591,0.2402,938
0.4138,0.1458,0.2276,0.1387,0.0742,0.0408,0.0215,0.0215,0.1786,0.2181,939
0.3538,0.1406,0.2769,0.1892,0.072,0.0193,0.01,0.01,0.1566,0.2867,940
0.3169,0.0663,0.1858,0.2331,0.0724,0.0181,0.0091,0.0091,0.1339,0.1816,941
0.4311,0.1939,0.3473,0.3202,0.1927,0.1451,0.1216,0.1216,0.2916,0.2806,942
0.5503,0.2032,0.3704,0.3854,0.2297,0.119,0.0652,0.0652,0.384,0.387,943
0.3165,0.1168,0.2734,0.2687,0.1427,0.0856,0.0315,0.0315,0.1842,0.1605,944
0.3657,0.0925,0.2057,0.2198,0.0857,0.0202,0.0099,0.0099,0.1776,0.0247,945
0.3036,0.1455,0.25,0.1471,0.0663,0.0188,0.0101,0.0101,0.2302,0.2045,946
0.486,0.1698,0.3178,0.316,0.1666,0.0877,0.0272,0.0272,0.2782,0.2939,947
0.4673,0.1226,0.2804,0.3298,0.1405,0.0555,0.0197,0.0197,0.2374,0.2633,948
0.3893,0.1769,0.255,0.236,0.137,0.0952,0.0669,0.0669,0.2811,0.2075,949
0.4,0.1236,0.2556,0.2812,0.1217,0.0251,0.0114,0.0114,0.2421,0.2472,950
0.5146,0.1863,0.3495,0.45,0.2335,0.1306,0.0823,0.0823,0.3109,0.335,951
0.3146,0.1136,0.2135,0.2234,0.1201,0.025,0.0115,0.0115,0.1625,0.167,952
0.6129,0.2935,0.4946,0.4755,0.3156,0.2265,0.1719,0.1719,0.4206,0.5725,953
0.4294,0.1242,0.2699,0.3289,0.1325,0.078,0.0505,0.0505,0.1842,0.1209,954
0.3933,0.1364,0.2809,0.2903,0.1376,0.0593,0.0219,0.0219,0.2881,0.3704,955
0.4977,0.1826,0.3529,0.3246,0.1928,0.1199,0.0797,0.0797,0.2699,0.2571,956
0.3843,0.1502,0.2667,0.2093,0.1289,0.0929,0.0742,0.0742,0.2192,0.1602,957
0.3125,0.2222,0.2031,0.172,0.1297,0.0974,0.0673,0.0673,0.3566,0.2511,958
0.4402,0.1836,0.3541,0.344,0.1887,0.1192,0.0636,0.0636,0.2445,0.2338,959
0.5669,0.352,0.4882,0.3649,0.2828,0.2371,0.2082,0.2082,0.5792,0.4109,960
0.3975,0.1132,0.2857,0.321,0.1416,0.0798,0.0505,0.0505,0.2209,0.1442,961
0.3737,0.1327,0.2626,0.2764,0.1498,0.0743,0.0441,0.0441,0.2122,0.1672,962
0.4348,0.2018,0.2957,0.2868,0.1856,0.1304,0.0895,0.0895,0.2031,0.3021,963
0.4299,0.1887,0.271,0.2072,0.1342,0.0871,0.062,0.062,0.174,0.262,964
0.4777,0.1551,0.2915,0.2464,0.1109,0.0517,0.0167,0.0167,0.1908,0.3504,965
0.4314,0.1881,0.3039,0.3736,0.2226,0.1529,0.1028,0.1028,0.2915,0.2314,966
0.5833,0.2316,0.4062,0.4656,0.2735,0.1694,0.0855,0.0855,0.3302,0.2975,967
0.2206,0.0448,0.1471,0.1149,0.0366,0.0116,0.0066,0.0066,0.122,0.08,968
0.2585,0.0828,0.1769,0.1717,0.0725,0.0378,0.0154,0.0154,0.204,0.118,969
0.3837,0.1399,0.2286,0.2027,0.1193,0.0696,0.0448,0.0448,0.1789,0.19,970
0.3529,0.188,0.2857,0.1818,0.1198,0.0915,0.0746,0.0746,0.2415,0.2135,971
0.2393,0.087,0.1709,0.1412,0.071,0.0393,0.0165,0.0165,0.3065,0.1996,972
0.4896,0.1684,0.2917,0.3854,0.215,0.0978,0.0313,0.0313,0.2909,0.3002,973
0.326,0.1199,0.2696,0.0436,0.024,0.0148,0.0078,0.0078,0.1186,0.2789,974
0.4086,0.1848,0.3226,0.3636,0.2331,0.1716,0.1313,0.1313,0.2745,0.152,975
0.3562,0.2222,0.3014,0.2763,0.2013,0.1636,0.1378,0.1378,0.272,0.1165,976
0.3649,0.1201,0.2596,0.1277,0.0701,0.0443,0.0281,0.0281,0.1489,0.1758,977
0.3505,0.1042,0.268,0.2767,0.1368,0.0567,0.0206,0.0206,0.1983,0.1978,978
0.3214,0.1351,0.2321,0.122,0.071,0.0361,0.0122,0.0122,0.1642,-0.0384,979
0.1982,0.0364,0.1441,0.0869,0.0074,0.0033,0.0022,0.0022,0.0644,-0.0771,980
0.4553,0.1393,0.2358,0.2462,0.1093,0.0604,0.0342,0.0342,0.2115,0.2762,981
0.3846,0.0781,0.2769,0.25,0.1058,0.0697,0.0478,0.0478,0.2657,0.1705,982
0.4615,0.1688,0.3462,0.3553,0.1686,0.0916,0.057,0.057,0.3065,0.2016,983
0.3431,0.0891,0.2157,0.2042,0.0876,0.0526,0.0344,0.0344,0.1877,0.1617,984
0.3839,0.1081,0.2589,0.2381,0.1037,0.0547,0.0189,0.0189,0.215,0.1637,985
0.4679,0.1667,0.367,0.25,0.1432,0.0948,0.0588,0.0588,0.2402,0.3585,986
0.3243,0.0548,0.1892,0.2169,0.0727,0.0403,0.0169,0.0169,0.2288,0.074,987
0.3409,0.1264,0.25,0.2651,0.1271,0.0584,0.0223,0.0223,0.1839,0.1845,988
0.5,0.2602,0.3871,0.3026,0.2085,0.1488,0.0958,0.0958,0.3058,0.2813,989
0.3977,0.1302,0.2456,0.2805,0.1557,0.0672,0.0249,0.0249,0.2168,0.2384,990
0.4211,0.2012,0.2456,0.369,0.2495,0.1824,0.1391,0.1391,0.317,0.1616,991
0.306,0.0884,0.2186,0.2083,0.0833,0.0427,0.0172,0.0172,0.1431,0.1237,992
0.5,0.2338,0.359,0.359,0.2365,0.1727,0.1361,0.1361,0.3537,0.3691,993
0.4693,0.2036,0.3177,0.2199,0.1337,0.0852,0.0534,0.0534,0.2069,0.2627,994
0.4901,0.2685,0.3179,0.4247,0.2974,0.2152,0.1438,0.1438,0.2677,0.2989,995
0.568,0.3468,0.384,0.3245,0.2344,0.1775,0.1435,0.1435,0.322,0.458,996
0.534,0.2434,0.3665,0.4043,0.2553,0.162,0.0983,0.0983,0.2757,0.4105,997
0.436,0.1882,0.3183,0.2095,0.1326,0.0893,0.0618,0.0618,0.2144,0.131,998
0.529,0.2555,0.3986,0.2046,0.1308,0.0988,0.0772,0.0772,0.2789,0.3422,999
0.5366,0.2266,0.3415,0.3863,0.2456,0.1812,0.1428,0.1428,0.3517,0.3447,1000
0.2597,0.0786,0.1818,0.1206,0.067,0.0459,0.0355,0.0355,0.1047,0.0786,1001
0.2817,0.1,0.1831,0.1954,0.1066,0.0737,0.0556,0.0556,0.2361,0.0924,1002
0.2778,0.0566,0.1481,0.175,0.0666,0.0178,0.0093,0.0093,0.2295,0.187,1003
0.2684,0.0611,0.1645,0.1516,0.046,0.0114,0.0057,0.0057,0.1142,0.0091,1004
0.3931,0.1404,0.3121,0.2395,0.1028,0.0618,0.0228,0.0228,0.1727,0.1698,1005
0.4455,0.2018,0.3273,0.296,0.174,0.1103,0.0563,0.0563,0.2795,0.2411,1006
0.3852,0.0902,0.2519,0.1688,0.0471,0.0144,0.008,0.008,0.1715,0.089,1007
0.4179,0.197,0.3284,0.2262,0.1279,0.0584,0.0223,0.0223,0.2978,0.3194,1008
0.4231,0.1558,0.2821,0.3333,0.1901,0.1098,0.0357,0.0357,0.3144,0.2231,1009
0.4486,0.1792,0.2897,0.3521,0.188,0.0992,0.0549,0.0549,0.2588,0.17,1010
0.367,0.1283,0.2247,0.2125,0.1203,0.0726,0.0498,0.0498,0.1806,0.1346,1011
0.4204,0.1161,0.2675,0.2987,0.1086,0.054,0.0215,0.0215,0.1947,0.1934,1012
0.4364,0.1284,0.2273,0.3157,0.1708,0.0791,0.0255,0.0255,0.2412,0.1398,1013
0.5076,0.1744,0.2944,0.427,0.2361,0.1583,0.1051,0.1051,0.3329,0.2388,1014
0.2837,0.1295,0.1844,0.1647,0.0886,0.0455,0.0184,0.0184,0.24,0.0884,1015
0.4852,0.2156,0.355,0.4,0.2673,0.1902,0.1431,0.1431,0.4167,0.2383,1016
0.4581,0.2486,0.3128,0.3658,0.2678,0.2175,0.1742,0.1742,0.2699,0.1669,1017
0.5,0.1605,0.2927,0.3587,0.1672,0.0716,0.0265,0.0265,0.3084,0.2732,1018
0.5389,0.2788,0.3952,0.4444,0.2887,0.2036,0.1342,0.1342,0.3847,0.4406,1019
0.2987,0.1184,0.2338,0.25,0.1496,0.0879,0.032,0.032,0.1805,0.0764,1020
0.3188,0.0588,0.1739,0.2024,0.0494,0.0144,0.0078,0.0078,0.2019,0.0185,1021
0.4311,0.2182,0.2994,0.325,0.2127,0.1426,0.0932,0.0932,0.2394,0.2733,1022
0.4238,0.1948,0.3048,0.2261,0.1461,0.1057,0.07,0.07,0.2095,0.2435,1023
0.2857,0.1579,0.2208,0.2098,0.1494,0.1064,0.0758,0.0758,0.1553,0.1385,1024
0.3439,0.0903,0.1656,0.2857,0.1371,0.0794,0.051,0.051,0.2473,0.1006,1025
0.3392,0.071,0.1871,0.2736,0.0812,0.02,0.01,0.01,0.1493,0.0906,1026
0.3378,0.0822,0.2162,0.2222,0.0745,0.0192,0.0097,0.0097,0.1599,0.1397,1027
0.31,0.0505,0.18,0.2526,0.0733,0.0179,0.0089,0.0089,0.137,0.0522,1028
0.3875,0.1899,0.325,0.3026,0.2107,0.1613,0.1363,0.1363,0.2787,0.2311,1029
0.4419,0.1797,0.3023,0.219,0.1211,0.0674,0.0356,0.0356,0.1935,0.2095,1030
0.3559,0.1282,0.2458,0.1903,0.107,0.0519,0.0171,0.0171,0.1482,0.1847,1031
0.5294,0.3095,0.3176,0.3837,0.277,0.2158,0.1706,0.1706,0.3904,0.2797,1032
0.3352,0.1243,0.2458,0.232,0.1441,0.089,0.03,0.03,0.2025,0.0468,1033
0.506,0.1585,0.3855,0.3604,0.1752,0.1043,0.073,0.073,0.2709,0.2486,1034
0.5366,0.2593,0.3902,0.3857,0.2115,0.087,0.0315,0.0315,0.3109,0.3599,1035
0.2751,0.0535,0.127,0.2326,0.0976,0.0462,0.0179,0.0179,0.1472,0.0384,1036
0.4824,0.132,0.2915,0.3444,0.1656,0.0652,0.023,0.023,0.2066,0.3828,1037
0.4615,0.1724,0.2821,0.2823,0.1536,0.094,0.0493,0.0493,0.2503,0.2306,1038
0.3568,0.1088,0.2573,0.1951,0.1097,0.0608,0.0345,0.0345,0.1634,0.1706,1039
0.2695,0.1295,0.227,0.2318,0.1545,0.1212,0.102,0.102,0.2119,0.1152,1040
0.481,0.2179,0.3038,0.3247,0.1961,0.1369,0.0912,0.0912,0.2779,0.2978,1041
0.4211,0.1733,0.2763,0.2727,0.1371,0.0759,0.0268,0.0268,0.3229,0.2209,1042
0.4586,0.1548,0.293,0.3077,0.1307,0.0577,0.0216,0.0216,0.257,0.257,1043
0.4229,0.1372,0.2581,0.1962,0.0945,0.0421,0.0133,0.0133,0.2,0.2611,1044
0.2963,0.1,0.2346,0.2299,0.1156,0.054,0.0208,0.0208,0.1752,0.0924,1045
0.3833,0.1092,0.25,0.192,0.0911,0.0357,0.0126,0.0126,0.1536,0.1733,1046
0.3787,0.1317,0.2722,0.2619,0.1376,0.0773,0.0489,0.0489,0.2146,0.2013,1047
0.4444,0.1549,0.2778,0.3012,0.1485,0.0648,0.0241,0.0241,0.3031,0.2195,1048
0.2857,0.0444,0.1648,0.2581,0.1059,0.0498,0.0192,0.0192,0.1442,0.1134,1049
0.3836,0.1528,0.2603,0.2692,0.1448,0.0939,0.0576,0.0576,0.2786,0.19,1050
0.2735,0.087,0.1709,0.1395,0.0405,0.0125,0.007,0.007,0.3191,0.1292,1051
0.48,0.2424,0.38,0.3231,0.2027,0.1313,0.0806,0.0806,0.2418,0.2468,1052
0.4737,0.16,0.3026,0.2967,0.1519,0.092,0.0545,0.0545,0.3379,0.3059,1053
0.3558,0.1456,0.2308,0.1434,0.0646,0.0135,0.0062,0.0062,0.1377,0.1735,1054
0.439,0.1885,0.2602,0.211,0.1241,0.0787,0.0529,0.0529,0.2258,0.2842,1055
0.5,0.2268,0.3673,0.3867,0.2412,0.1678,0.1098,0.1098,0.3123,0.3019,1056
0.3584,0.0936,0.289,0.2824,0.082,0.0201,0.01,0.01,0.1926,0.2265,1057
0.5464,0.3021,0.4742,0.3987,0.2869,0.2109,0.1585,0.1585,0.4067,0.3263,1058
0.4722,0.1268,0.2778,0.3412,0.1912,0.0959,0.0322,0.0322,0.3848,0.2699,1059
0.4066,0.1889,0.2857,0.3141,0.198,0.1217,0.0805,0.0805,0.2346,0.2724,1060
0.4348,0.1509,0.2857,0.2857,0.1371,0.0794,0.0287,0.0287,0.2451,0.2312,1061
0.6571,0.3654,0.5048,0.4535,0.3113,0.2267,0.1754,0.1754,0.4283,0.4078,1062
0.4706,0.1782,0.2647,0.37,0.2287,0.1387,0.0861,0.0861,0.2712,0.2259,1063
0.4961,0.2302,0.3307,0.2153,0.1398,0.1026,0.0796,0.0796,0.2177,0.2584,1064
0.3779,0.1395,0.2673,0.2695,0.1449,0.0871,0.057,0.057,0.2267,0.1529,1065
0.3065,0.082,0.2097,0.1765,0.0917,0.0466,0.0187,0.0187,0.3366,0.0771,1066
0.314,0.1008,0.1818,0.2105,0.106,0.0672,0.0254,0.0254,0.3293,0.0944,1067
0.4316,0.1596,0.3263,0.3146,0.1798,0.1004,0.0321,0.0321,0.2323,0.199,1068
0.3538,0.1719,0.2615,0.2078,0.1169,0.0567,0.0223,0.0223,0.2814,0.2613,1069
0.3053,0.124,0.229,0.1705,0.0885,0.0649,0.0504,0.0504,0.2975,0.1946,1070
0.4818,0.2752,0.3909,0.2631,0.1825,0.1309,0.0936,0.0936,0.2389,0.2822,1071
0.325,0.1013,0.2125,0.2326,0.0906,0.0214,0.0104,0.0104,0.1544,0.069,1072
0.4915,0.2051,0.3305,0.3064,0.1853,0.1272,0.0863,0.0863,0.2678,0.2486,1073
0.4813,0.1946,0.3529,0.4065,0.2125,0.1005,0.0328,0.0328,0.2815,0.2638,1074
0.4237,0.1282,0.2712,0.2247,0.1186,0.074,0.0516,0.0516,0.2206,0.2046,1075
0.5319,0.2688,0.3723,0.4118,0.2554,0.1576,0.0793,0.0793,0.3866,0.3893,1076
0.4369,0.1176,0.301,0.3144,0.123,0.0245,0.011,0.011,0.2155,0.2598,1077
0.5635,0.3911,0.4751,0.4719,0.3734,0.3177,0.2779,0.2779,0.423,0.3364,1078
0.4245,0.0857,0.1887,0.2655,0.109,0.0476,0.0177,0.0177,0.1886,0.1033,1079
0.4051,0.1667,0.3165,0.2241,0.1036,0.0507,0.02,0.02,0.1894,0.1921,1080
0.4516,0.1674,0.2673,0.2833,0.1562,0.102,0.0629,0.0629,0.2412,0.1332,1081
0.4358,0.2118,0.2879,0.1881,0.1225,0.0813,0.052,0.052,0.2293,0.2283,1082
0.4413,0.1517,0.2911,0.3141,0.1775,0.1231,0.0945,0.0945,0.2589,0.2285,1083
0.4091,0.1468,0.2545,0.269,0.1446,0.0691,0.0226,0.0226,0.1954,0.1477,1084
0.4523,0.203,0.3116,0.3627,0.2323,0.1695,0.1312,0.1312,0.2831,0.1511,1085
0.3404,0.1295,0.227,0.2111,0.1193,0.0686,0.0247,0.0247,0.2558,0.224,1086
0.3294,0.0476,0.1882,0.2771,0.1007,0.0232,0.0112,0.0112,0.1861,0.1607,1087
0.3854,0.1053,0.25,0.3038,0.1324,0.0698,0.0428,0.0428,0.1987,0.1773,1088
0.4604,0.2174,0.3022,0.2131,0.1308,0.08,0.0507,0.0507,0.2254,0.2894,1089
0.5714,0.239,0.3975,0.3678,0.2169,0.1303,0.0717,0.0717,0.3322,0.3599,1090
0.4268,0.1481,0.3293,0.3032,0.1365,0.0615,0.0233,0.0233,0.2493,0.2669,1091
0.5548,0.2876,0.4258,0.4744,0.304,0.2042,0.1227,0.1227,0.4349,0.4621,1092
0.3049,0.1111,0.2317,0.2093,0.0992,0.0227,0.0109,0.0109,0.1641,0.1825,1093
0.2745,0.053,0.1699,0.2069,0.0981,0.0484,0.0192,0.0192,0.2307,0.1353,1094
0.2632,0.1071,0.1228,0.125,0.0379,0.0119,0.0067,0.0067,0.2563,0.164,1095
0.4198,0.1375,0.2346,0.3258,0.161,0.106,0.0726,0.0726,0.2906,0.2542,1096
0.1525,0.0172,0.1186,0.0761,0.0289,0.0098,0.0057,0.0057,0.1379,0.0799,1097
0.5488,0.321,0.378,0.4348,0.3091,0.2122,0.134,0.134,0.5097,0.4347,1098
0.375,0.1656,0.2237,0.1087,0.0638,0.0307,0.0162,0.0162,0.1451,0.2342,1099
0.4118,0.2388,0.3382,0.2949,0.2144,0.1691,0.1403,0.1403,0.3464,0.1902,1100
0.4484,0.1864,0.2918,0.1877,0.1019,0.0629,0.0417,0.0417,0.2046,0.273,1101
0.3108,0.0884,0.1514,0.1944,0.0948,0.0374,0.0133,0.0133,0.1416,0.0294,1102
0.4114,0.2081,0.32,0.3206,0.2205,0.1687,0.139,0.139,0.2294,0.2458,1103
0.3577,0.1322,0.3089,0.2278,0.1081,0.0533,0.0211,0.0211,0.2897,0.2934,1104
0.4713,0.1628,0.2644,0.3605,0.1842,0.1173,0.0874,0.0874,0.2815,0.27,1105
0.3717,0.1429,0.2655,0.231,0.1233,0.0696,0.0224,0.0224,0.203,0.1099,1106
0.4813,0.2162,0.3316,0.4291,0.2643,0.1831,0.1359,0.1359,0.323,0.277,1107
0.4785,0.1615,0.2331,0.2927,0.1202,0.0262,0.0123,0.0123,0.2773,0.3055,1108
0.3788,0.145,0.2652,0.1485,0.0912,0.0591,0.0349,0.0349,0.1983,0.0812,1109
0.5053,0.2128,0.3368,0.4021,0.2542,0.1847,0.1427,0.1427,0.3315,0.2271,1110
0.3446,0.0906,0.2022,0.1764,0.0875,0.0421,0.0246,0.0246,0.1497,0.0486,1111
0.2727,0.051,0.1313,0.2149,0.0922,0.044,0.0171,0.0171,0.125,0.0222,1112
0.4388,0.1546,0.3265,0.3082,0.1818,0.1317,0.1033,0.1033,0.2632,0.2644,1113
0.4215,0.1667,0.2975,0.2603,0.1293,0.0815,0.0516,0.0516,0.237,0.2997,1114
0.3762,0.08,0.1881,0.2652,0.1089,0.0221,0.01,0.01,0.1592,0.1266,1115
0.3832,0.1939,0.2515,0.2716,0.1648,0.101,0.0339,0.0339,0.2413,0.2456,1116
0.5,0.2689,0.3917,0.2938,0.2048,0.1405,0.0844,0.0844,0.2929,0.297,1117
0.5179,0.2432,0.3304,0.3468,0.2331,0.1747,0.1251,0.1251,0.3147,0.3291,1118
0.1346,0.0392,0.1154,0.0678,0.0342,0.0127,0.0078,0.0078,0.0673,-0.2804,1119
0.4476,0.2411,0.3497,0.3382,0.2132,0.151,0.1206,0.1206,0.2953,0.2631,1120
0.4038,0.1359,0.25,0.2019,0.0999,0.0522,0.0319,0.0319,0.1948,0.1878,1121
0.5556,0.272,0.3571,0.3397,0.2249,0.1381,0.0981,0.0981,0.303,0.3315,1122
0.3077,0.1418,0.2517,0.2055,0.1309,0.0898,0.0674,0.0674,0.2062,0.1629,1123
0.303,0.0714,0.202,0.2242,0.0814,0.0188,0.009,0.009,0.1408,0.0172,1124
0.3806,0.1714,0.2915,0.2452,0.1517,0.1076,0.0764,0.0764,0.2276,0.1567,1125
0.3103,0.093,0.1494,0.23,0.1363,0.0829,0.0585,0.0585,0.2646,0.155,1126
0.4636,0.2013,0.2517,0.2697,0.1566,0.1041,0.0716,0.0716,0.2967,0.3556,1127
0.4672,0.1322,0.3033,0.2769,0.1449,0.0906,0.0604,0.0604,0.2459,0.2994,1128
0.32,0.1081,0.2267,0.1818,0.0914,0.0579,0.0389,0.0389,0.1727,0.1531,1129
0.5269,0.1455,0.2994,0.4375,0.2233,0.1242,0.084,0.084,0.414,0.2799,1130
0.5349,0.2353,0.3953,0.4286,0.2489,0.1557,0.0983,0.0983,0.3409,0.3806,1131
0.4941,0.2024,0.3529,0.3287,0.1835,0.0956,0.0583,0.0583,0.284,0.3445,1132
0.4772,0.2359,0.2741,0.3443,0.238,0.1571,0.0787,0.0787,0.2837,0.2946,1133
0.3649,0.2466,0.3108,0.2471,0.1955,0.1664,0.1456,0.1456,0.2889,0.2667,1134
0.4523,0.2538,0.3618,0.2993,0.2185,0.1755,0.1413,0.1413,0.2652,0.0989,1135
0.4821,0.1969,0.359,0.3376,0.1961,0.1304,0.0897,0.0897,0.2935,0.2495,1136
0.4242,0.1692,0.2879,0.2073,0.1239,0.0727,0.047,0.047,0.323,0.2375,1137
0.4646,0.2937,0.3465,0.2669,0.2024,0.1664,0.1391,0.1391,0.2555,0.4047,1138
0.4167,0.1368,0.1979,0.3505,0.1813,0.0702,0.0246,0.0246,0.2493,0.1429,1139
0.6013,0.2252,0.3791,0.471,0.182,0.0362,0.0162,0.0162,0.3354,0.395,1140
0.3659,0.0741,0.2317,0.2857,0.0867,0.0216,0.0108,0.0108,0.1623,0.2422,1141
0.2595,0.1085,0.1832,0.1333,0.0387,0.0119,0.0067,0.0067,0.2087,0.1622,1142
0.3143,0.1058,0.2476,0.1646,0.079,0.0458,0.0165,0.0165,0.1565,0.1356,1143
0.5403,0.2488,0.3791,0.4314,0.283,0.2082,0.1439,0.1439,0.3443,0.3671,1144
0.4215,0.1583,0.2975,0.2504,0.1421,0.0937,0.0618,0.0618,0.2089,0.2938,1145
0.4636,0.2,0.3046,0.1765,0.1043,0.0685,0.0481,0.0481,0.176,0.2865,1146
0.5091,0.2294,0.3909,0.3121,0.1961,0.1442,0.1135,0.1135,0.283,0.1948,1147
0.335,0.0697,0.1773,0.2165,0.0889,0.0418,0.0162,0.0162,0.1525,0.1097,1148
0.4831,0.1966,0.3051,0.2762,0.1671,0.1056,0.0681,0.0681,0.2154,0.3395,1149
0.4028,0.1127,0.2917,0.2588,0.111,0.0667,0.0436,0.0436,0.2747,0.2814,1150
0.3514,0.0959,0.2297,0.1573,0.0134,0.0059,0.0039,0.0039,0.1809,0.1555,1151
0.4578,0.1951,0.2892,0.3544,0.2022,0.081,0.0289,0.0289,0.3156,0.2984,1152
0.3091,0.1143,0.2019,0.0759,0.0462,0.0305,0.0229,0.0229,0.1296,0.0041,1153
0.5399,0.1615,0.319,0.3636,0.171,0.0698,0.0252,0.0252,0.3266,0.3325,1154
0.4127,0.1818,0.2751,0.2916,0.1887,0.137,0.1018,0.1018,0.2595,0.2184,1155
0.4834,0.2392,0.3507,0.3519,0.2307,0.1686,0.1272,0.1272,0.2674,0.2507,1156
0.5568,0.3218,0.4091,0.4197,0.2945,0.2296,0.1892,0.1892,0.3338,0.4211,1157
0.3974,0.1074,0.2649,0.2471,0.0939,0.022,0.0107,0.0107,0.2313,0.2035,1158
0.406,0.1374,0.2556,0.1467,0.0445,0.014,0.0078,0.0078,0.1458,0.243,1159
0.4186,0.1647,0.2907,0.3412,0.2114,0.1478,0.1043,0.1043,0.2869,0.1608,1160
0.3281,0.1429,0.2188,0.2468,0.1396,0.0296,0.0137,0.0137,0.2823,0.2429,1161
0.3086,0.0578,0.1714,0.2208,0.051,0.0146,0.0078,0.0078,0.1167,-0.0477,1162
0.5047,0.2453,0.3925,0.3848,0.2563,0.1783,0.1217,0.1217,0.3331,0.4095,1163
0.4767,0.1059,0.3372,0.3422,0.1664,0.0319,0.014,0.014,0.2535,0.3097,1164
0.391,0.1527,0.2256,0.1905,0.0677,0.0383,0.0162,0.0162,0.248,0.2131,1165
0.3707,0.0778,0.2317,0.1342,0.0594,0.025,0.0092,0.0092,0.1235,0.1643,1166
0.5137,0.232,0.3497,0.4038,0.2636,0.1964,0.1608,0.1608,0.3614,0.3215,1167
0.3121,0.0719,0.1702,0.1461,0.0129,0.0058,0.0039,0.0039,0.1753,0.1299,1168
0.4336,0.2054,0.3451,0.2487,0.1646,0.1038,0.0747,0.0747,0.2545,0.2441,1169
0.3984,0.1311,0.3008,0.1461,0.0813,0.0549,0.0344,0.0344,0.1799,0.2668,1170
0.4455,0.15,0.2673,0.2831,0.1332,0.0544,0.0196,0.0196,0.2005,0.2345,1171
0.5477,0.2176,0.3485,0.3146,0.186,0.1124,0.0539,0.0539,0.2835,0.402,1172
0.3727,0.0881,0.2609,0.2625,0.0815,0.0204,0.0103,0.0103,0.1755,0.2011,1173
0.4623,0.1624,0.2915,0.3067,0.1612,0.0791,0.0263,0.0263,0.2148,0.2654,1174
0.4574,0.1398,0.266,0.2916,0.1635,0.082,0.0275,0.0275,0.2151,0.2442,1175
0.597,0.2312,0.4378,0.4637,0.2662,0.1801,0.1249,0.1249,0.368,0.3568,1176
0.4396,0.1778,0.3187,0.3626,0.2075,0.1122,0.0629,0.0629,0.2842,0.3729,1177
0.5395,0.28,0.3947,0.3478,0.2394,0.1646,0.119,0.119,0.3929,0.3929,1178
0.314,0.084,0.2314,0.1688,0.0943,0.0491,0.02,0.02,0.2468,0.2046,1179
0.3472,0.0845,0.2222,0.2222,0.0527,0.0152,0.0082,0.0082,0.1754,0.2228,1180
0.3282,0.0725,0.1846,0.2737,0.1207,0.0539,0.0203,0.0203,0.1835,0.1299,1181
0.4138,0.1692,0.2956,0.2159,0.1205,0.0498,0.0181,0.0181,0.1609,0.1876,1182
0.4453,0.1633,0.2672,0.2769,0.166,0.0953,0.0272,0.0272,0.2647,0.22,1183
0.4526,0.2553,0.3895,0.3486,0.2513,0.1961,0.1432,0.1432,0.3443,0.3335,1184
0.4599,0.1838,0.3102,0.3778,0.2349,0.1234,0.0682,0.0682,0.2653,0.3134,1185
0.4125,0.1899,0.325,0.325,0.2028,0.1382,0.1007,0.1007,0.2671,0.1483,1186
0.5,0.2533,0.3684,0.3563,0.2321,0.1787,0.1476,0.1476,0.3789,0.4066,1187
0.5132,0.2133,0.3816,0.3516,0.2165,0.1282,0.07,0.07,0.3688,0.3661,1188
0.3654,0.1165,0.2019,0.2948,0.1608,0.0612,0.0213,0.0213,0.204,0.166,1189
0.3803,0.1571,0.2394,0.1807,0.105,0.0648,0.0429,0.0429,0.2738,0.2857,1190
0.3776,0.1246,0.2537,0.0838,0.0482,0.016,0.0052,0.0052,0.1434,0.1828,1191
0.4588,0.2094,0.3154,0.2221,0.1548,0.1235,0.1039,0.1039,0.2651,0.2945,1192
0.2122,0.0165,0.1551,0.1244,0.028,0.0079,0.0042,0.0042,0.0821,-0.0597,1193
0.3295,0.046,0.1818,0.2555,0.0775,0.0415,0.0171,0.0171,0.146,0.0941,1194
0.1808,0.092,0.1323,0.0004,0.0003,0.0002,0.0001,0.0001,0.0561,0.1258,1195
0.3472,0.1408,0.25,0.2078,0.1169,0.09,0.0737,0.0737,0.2014,0.2164,1196
0.1818,0.0123,0.0848,0.125,0.0363,0.0112,0.0062,0.0062,0.1307,-0.0796,1197
